"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"X - 11381"	129388	311136	291903	192122	177707	212938	318110	263505	277234	192526	151456	164989	436449	539560	249276	537329	369724	528193	152740	279760	534185	304797	602019	239322	456887	233487	323188	132558	292092	418548	432901	538654	410243	271853	393389	382729	466614	387189	374256	462517	205888	263211	741503	425287	1069905	575165	878940	1017056
"X - 12015"	178105	161994	156647	138724	165691	133609	195603	128312	138679	163092	123091	136884	187458	213784	154364	193919	179729	163841	161117	159619	186808	148974	193560	213151	464192	359412	447143	329297	479190	338113	196318	232842	248168	119059	210390	245210	314768	369304	413731	372884	281037	265300	189926	134939	183988	184728	142801	176397
"X - 12688"	379513	610736	546236	412871	341593	226848	553076	688742	592575	424404	384878	441302	846499	1108451	624590	1089650	602337	1010229	354282	589957	1070334	568832	1132488	581410	1226504	583109	934913	636518	761581	1421454	765977	990071	673267	NA	632034	617463	1106572	799659	715690	1025188	641670	659676	1140100	739811	1685282	1133675	1190827	1570850
"X - 12748"	6189060	5839825	6255037	6197415	5810809	5941250	6273721	5144137	6282359	6623433	5713832	6088330	9326865	9730070	9533825	9836752	8636327	8786506	6589989	6847194	9855713	9272848	10120278	9589407	8564434	9251504	8533266	8660194	8630060	8513640	9000944	9453679	12589333	7049106	12009032	13427049	9179351	8775536	10194057	9065068	9400003	9158899	12568750	11856893	15596336	15850946	16312391	15139014
"X - 14056"	180607	460332	370979	143138	365627	329383	255793	200135	202496	199139	622853	247456	838369	1167954	475829	981602	619681	1134134	285774	333054	909776	223126	1010701	412935	495997	129392	363636	210416	260443	511442	559913	734774	674654	478674	941591	936075	458913	405571	423292	665082	504809	397083	1367724	481984	2295665	979590	794218	1784771
"X - 14568"	31428210	32607220	27190212	26993634	30249186	28779536	28094140	27726024	28192070	28680778	29675412	29959458	32013018	28480862	27595040	28285212	34242848	30126070	34107024	29762528	27399450	24225306	27277156	29766742	29989868	28189488	31826362	31569532	27603142	24618364	26583388	28211952	31345024	15976752	31395366	27857182	27862816	27223208	33428742	30300404	29361932	25729036	28485540	24234080	24496350	22004588	26742940	21213788
"X - 15220"	110733	158342	198607	173480	137039	76336	139639	92068	94567	82796	257285	145714	73790	57667	63098	50649	141279	107587	75374	63096	87774	80429	147561	108634	107602	66833	118980	107377	52910	28558	142101	469167	45660	96963	83577	45621	125410	141131	45481	37245	121234	42491	68669	29742	86020	87586	133828	32695
"X - 15245"	NA	NA	NA	20326	NA	17089	NA	14214	NA	32177	NA	NA	58845	37810	25666	19645	NA	27502	NA	NA	21819	NA	NA	42440	NA	28414	NA	NA	NA	27343	62354	55208	93067	34682	70242	78251	63685	55653	81754	58734	52128	50133	113390	90493	116264	132301	169263	140631
"X - 17677"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15116	NA	NA	NA	21030	23055	17607	NA	22131	20514	32068	22588	42495	41037	51159	53604
"X - 18779"	388158	417345	285671	316660	318407	329083	351685	297790	334837	318086	331733	292826	417557	367793	323338	278669	470331	386251	423131	344995	358572	253216	335572	354700	363172	351208	397071	361657	315498	286858	282008	332771	380719	217642	399940	332743	300922	316124	413786	418396	325699	295740	366599	291446	318837	344899	352291	290861
"X - 21343"	270827	211987	287550	356185	338662	235013	199539	396515	517894	74356	82830	NA	136893	408447	555246	124110	142407	129217	61019	144346	124214	131168	220591	374650	194762	649421	529514	154923	363221	519399	49842	177951	227961	62284	73042	121618	NA	129121	117844	91086	144501	114619	NA	135218	72165	NA	129665	168618
"X - 21365"	1220305	1747955	1486765	1080227	1111883	1118970	1493931	1900322	1350888	1044736	1038635	1069485	2681872	3141517	2308893	3203113	2189265	3333919	1454231	1747091	3277132	1497714	3483008	2011090	2417115	1529503	1702096	775386	1562403	2201491	3627909	3490483	3866125	1278095	2606883	3028171	2688408	2104307	2036564	2707038	1736527	1737581	4449478	3281303	7278302	5132725	6497398	7650499
"X - 21891"	NA	66462	73082	56616	85118	64042	21778	101046	69355	19860	75615	80819	NA	90823	76776	33706	89505	84213	40116	101464	88204	30997	88902	71496	35806	92353	75351	41574	82867	65292	35601	127761	89938	NA	85581	83774	39233	96657	63171	26586	68130	59814	25935	142126	92976	32673	117581	95567
"X - 22768"	221343	223589	218503	231130	194314	218626	235517	242478	228092	224879	221187	208644	330690	394931	374365	288130	269047	294103	297667	241648	313706	339800	310709	300412	281805	339895	331872	277920	294588	290991	352987	290584	375467	353519	393790	304619	351492	346077	321064	295119	297228	304919	323609	512995	390228	378927	447683	350573
"X - 22770"	37393	51337	39516	30304	55566	34999	NA	32451	44680	40320	50748	44007	76899	56935	71285	75239	90773	80486	35081	36219	67002	54303	59775	70444	44647	37125	49501	56450	49122	51811	42806	55889	103068	57946	104433	93117	72569	57826	132746	83437	83364	71735	81230	55115	120149	98500	182043	127190
"X - 22776"	87136	94941	125719	105291	87810	76911	87576	306941	330130	56075	42633	48694	120946	174037	195003	94187	73363	93665	103601	83350	115592	109573	102506	119154	104078	289183	248631	82581	157227	149543	78382	226059	98845	61880	74037	87581	65837	64365	89127	83583	65853	64816	78353	121842	88507	92316	92829	109118
"X - 24020"	2941035	3917491	3331814	2769883	2671353	2870696	3617587	4367556	3820641	2445385	2645153	3356672	4454725	5570931	3483222	5601486	3895855	5233398	2660370	3235247	5233861	2515930	5878245	4334262	5180584	3851197	4115919	2900407	3698790	5122134	5113333	6280422	5949591	2834166	5270012	6387111	4847883	4416652	3876211	4897885	3261111	3132410	7272387	5423144	9726276	7683330	9011406	9660771
"X - 24054"	85834	78253	103721	125124	158405	178847	177324	85163	35355	171913	121990	201641	62802	93165	75324	178070	NA	86365	47758	97399	92734	189701	102283	174062	66181	98731	27768	77614	155347	205928	160198	111628	126749	112596	116029	295462	157554	204446	89991	150071	85220	245898	97596	145399	108977	262038	277357	354824
"X - 24061"	2068881	1381565	1612250	2343962	2135525	2687567	2438054	1032498	1060080	2147025	1859846	2566079	807430	1317597	1439083	2090153	949150	1237098	895020	1356371	1392957	2561469	1193325	1655291	852021	1656749	829009	1450157	2274221	2384293	1675328	1704701	1496810	1453124	1150846	2651784	1696391	2100681	1139380	1596217	1001890	2279889	1989780	2627473	1692915	2939973	3352801	3904640
"X - 24097"	772005	747786	803513	816240	946069	1001598	928932	663158	790679	910771	989660	959331	773669	917776	1063117	1079960	1057228	924934	840585	704630	854413	1248716	917547	1128693	748333	957222	700463	934952	1054553	923867	1225587	1253759	1658180	1295250	1682763	2408486	787724	1018974	1156488	841560	804932	963216	1886755	2114235	2206909	3094900	3238694	2867804
"X - 24241"	NA	149437	92850	58831	95352	76237	138880	120362	NA	85557	68406	46764	158721	166896	83447	173809	134709	184704	45917	133190	163233	119385	224654	NA	169037	74232	155202	NA	122293	176146	188826	192406	112552	75050	197777	150820	222743	160388	121930	170661	NA	114106	271996	122415	355446	131165	180488	394898
"X - 24435"	NA	589787	473919	398460	474146	388116	NA	291801	320462	142870	289130	278289	189050	282213	436304	440014	190100	368454	NA	178920	517802	242644	321547	309681	154693	278947	481039	134849	392895	478230	322240	548667	406322	224338	444946	415233	396112	570889	447259	299858	522546	529631	540218	394552	544011	494801	786343	1196438
"X - 24803"	605858496	671573824	634943232	566713984	655139904	667646912	628081856	604623872	634520576	591626048	572850048	616851904	818448256	789782528	678342464	770447424	847415552	812651456	736622656	668941440	751546752	645100544	824713216	732422976	763290304	668750592	734992832	657778368	664415680	666857984	798787456	850420928	832571776	634625856	1006687296	977312000	745222336	760206272	840492672	757696192	723110912	711661056	994617152	807970368	1058854336	1072529792	1084047744	1054473152
"X - 24804"	31806932	31977570	34503056	33848988	33577920	35238072	35150044	32567898	33528686	33000678	29001190	32859420	50363400	55566884	47085240	54759880	46385828	51346636	37515248	37199692	52344248	45823624	58378336	49350476	44579992	41311052	41381516	36846248	42467928	45216728	60540312	62186848	62241912	52750768	71051392	82064112	50619892	48803348	46454012	46527724	46176328	47456104	83077752	78604368	111223584	126329336	116043872	128554816
"X - 24806"	13288359	13753360	14240140	13806068	13795173	14806812	15133090	14213093	13751530	14166999	12347238	13807727	20217194	22899738	19907642	23622908	19011342	23073864	16372729	15601583	22427604	18094194	24396452	20272808	19686612	17273972	16823108	15401335	17153224	19060216	24891454	26649690	25947708	21204814	29250052	31976792	22522330	20709668	11395459	19565124	19259108	20182930	32807706	30690788	44009200	47669760	44709808	51225008
"X - 24831"	23192	38352	37566	44355	35934	33567	NA	34743	48192	33529	82435	40287	22946	40064	42757	49074	38940	40121	43399	39994	51418	62050	64053	44997	36025	36292	31021	23563	39525	52625	39806	40051	53843	35080	76277	51593	50157	34574	28351	38554	48913	45635	76632	69027	53323	96789	101732	68235
